date,symbol,original_length,summary_length,compression_ratio,summary
2019-01-09,A,69,69,1.0,Agilent Technologies Meets 80-Plus Relative Strength Rating Benchmark
2019-01-14,A,66,66,1.0,Will Agilent (A) Beat Estimates Again in Its Next Earnings Report?
2019-01-18,A,55,55,1.0,TE Connectivity (TEL) Q1 Earnings: What's in the Cards?
2019-02-07,A,88,88,1.0,Tracking William Von Mueffling's Cantillon Capital Management Portfolio - Q4 2018 Update
2019-02-13,A,93,93,1.0,Agilent Technologies (A) Earnings Expected to Grow: What to Know Ahead of Next Week's Release
2019-02-15,A,41,41,1.0,3 Things to Know About Q4 Earnings Season
2019-02-20,A,369,369,1.0,"Agilent Technologies, Inc.'s (A) CEO Mike McMullen on Q1 2019 Results - Earnings Call Transcript Agilent Technologies Inc. 2019 Q1 - Results - Earnings Call Slides Agilent FQ1 non-GAAP earnings up 13%; soft guidance pressures shares, down 4% after hours Thermo Fisher: Stellar Results Year After Year Fiber Optic Sensor Market - The Mastermind Behind Today's Technology"
2019-02-21,A,58,58,1.0,Agilent (A) Surpasses Earnings and Revenue Estimates in Q1
2019-02-22,A,97,97,1.0,"Top Research Reports for McDonald's, CVS Health & Celgene Agilent (A) Upgraded to Buy: Here's Why"
2019-02-25,A,141,141,1.0,"The Zacks Analyst Blog Highlights: McDonald's, CVS Health, Celgene, Coca-Cola and Agilent Top Ranked Momentum Stocks to Buy for February 25th"
2019-02-26,A,51,51,1.0,Top Ranked Momentum Stocks to Buy for February 26th
2019-02-27,A,98,98,1.0,"Oxford Asset Management Buys Federal Street Acquisition Corp, Tesaro Inc, BHP Group PLC, Sells ..."
2019-02-28,A,117,117,1.0,Booking Holdings (BKNG) Q4 Earnings & Revenues Beat Estimates Square (SQ) Surpasses Q4 Earnings and Revenue Estimates
2019-03-06,A,27,27,1.0,6 Stocks Beating the Market
2019-03-15,A,54,54,1.0,BMO likes Amgen and Gilead in premarket analyst action
2019-03-19,A,59,59,1.0,Tencent (TCEHY) to Report Q4 Earnings: What's in the Cards?
2019-03-20,A,32,32,1.0,Agilent declares $0.164 dividend
2019-03-22,A,54,54,1.0,Why Is Agilent (A) Up 5.3% Since Last Earnings Report?
2019-03-25,A,93,93,1.0,"Investor Expectations to Drive Momentum within Entercom Communications, PPL, Clean Energy ..."
2019-03-29,A,141,141,1.0,"Hedge Funds Have Never Been This Bullish On Xilinx, Inc. 33 Firms Going Ex-Dividend Next Week, Including Comcast, JP Morgan And Cisco Systems"
2019-04-02,A,54,54,1.0,Agilent launches new QC system for next-gen sequencing
2019-04-12,A,46,46,1.0,Calamos Wealth Management Llc Buys Amazon. ...
2019-04-15,A,56,56,1.0,Amtek (AME) Hits Fresh High: Is There Still Room to Run?
2019-04-18,A,66,66,1.0,IBD Stock Of The Day: This Company Gets A Lift From Its 5G Rollout
2019-04-23,A,68,68,1.0,Waters Q1 miss and lower guidance pressures life sciences kit makers
2019-04-29,A,111,111,1.0,Square (SQ) to Report Q1 Earnings: What's in the Offing? What's in Store for AMETEK (AME) This Earnings Season?
2019-05-01,A,119,119,1.0,Why the Earnings Surprise Streak Could Continue for Agilent (A) AMETEK (AME) Q1 Earnings and Revenues Surpass Estimates
2019-05-02,A,121,121,1.0,"Avid Technology (AVID) to Post Q1 Earnings: What's in Store? Trimble's (TRMB) Q1 Earnings Miss Estimates, Revenues Up Y/Y"
2019-05-03,A,314,195,0.6210191082802548,"Twin Capital Management Inc Buys Agilent Technologies Inc, Fortinet Inc, Cboe Global Markets ... Findlay Park Partners LLP Buys Agilent Technologies Inc, Fiserv Inc, Analog Devices Inc, Sells ..."
2019-05-06,A,833,173,0.20768307322929172,What's in the Offing for TripAdvisor's (TRIP) Q1 Earnings? Factors to Consider Ahead of eGain's (EGAN) Q3 Earnings Pegasystems (PEGA) to Report Q1 Earnings: What's in Store?
2019-05-07,A,311,114,0.3665594855305466,What's in the Cards for Zillow Group (ZG) in Q1 Earnings? Will Lower Revenues Affect CommScope (COMM) Q1 Earnings?
2019-05-08,A,215,215,1.0,"Catalyst Capital Advisors LLC Buys Aflac Inc, Agilent Technologies Inc, Cree Inc, Sells Amgen ... Factors Likely to Decide JD.com's (JD) Fate in Q1 Earnings Itron (ITRI) Earnings and Revenues Surpass Estimates in Q1"
2019-05-09,A,118,118,1.0,"MACOM (MTSI) Q2 Loss Wider Than Expected, Revenues Fall Y/Y Advanced Energy (AEIS) Q1 Earnings Beat, Revenues Down Y/Y"
2019-05-10,A,178,178,1.0,Mettler-Toledo (MTD) Earnings & Revenues Top Estimates in Q1 Can New Offerings & Buyouts Aid Cisco's (CSCO) Q3 Earnings? Alibaba (BABA) Gears Up for Q4 Earnings: What's in Store?
2019-05-13,A,160,160,1.0,Agilent Q2 2019 Earnings Preview Notable earnings after Tuesday's close Tracking William Von Mueffling's Cantillon Capital Management Portfolio - Q1 2019 Update
2019-05-14,A,357,357,1.0,"Agilent Technologies, Inc. (A) CEO Mike McMullen on Q2 2019 Results - Earnings Call Transcript A, ACB, EGHT and TLRY among notable after hour movers Agilent Technologies (A) Q2 Earnings and Revenues Miss Estimates Agilent down 8% after hours on FQ2 miss, revenue guidance cut Agilent misses by $0.01, misses on revenue What To Expect From Agilent's Earnings"
