date,symbol,news_vector,impact_score
2019-01-09,A,"[-0.05078962445259094, 0.025552410632371902, 0.3841308653354645, 0.0689612478017807, -0.46509480476379395, 0.08447804301977158, 0.2513395845890045, 0.3893592953681946, 0.1926625669002533, -0.8125162124633789, 0.3207651674747467, -0.049372781068086624, 0.02292015589773655, -0.0005738973850384355, -0.584638237953186, 0.1414259374141693, 0.7912536859512329, 0.22131232917308807, 0.360319048166275, 0.018277859315276146, -0.3917156755924225, -0.07204373180866241, -0.6603750586509705, -0.1511552333831787, -0.49587106704711914, -0.6960638761520386, 0.3865206241607666, -0.29035526514053345, -0.6691185235977173, -0.05144669860601425, 0.26502400636672974, -0.08475659787654877, 0.18214170634746552, 0.8018528819084167, 0.6592326164245605, -0.37428349256515503, -0.22581255435943604, 0.057876694947481155, -0.1110198050737381, -0.43847522139549255, -0.15840855240821838, -0.010568976402282715, -0.3331412672996521, 0.05733294412493706, -0.9515921473503113, -0.47295546531677246, -0.12961187958717346, 0.6831771731376648, -0.3278557360172272, -0.14023494720458984, 0.6064463257789612, -0.35627317428588867, 0.5273145437240601, 0.2059919834136963, 0.06828995048999786, 0.1901041567325592, -0.29232296347618103, 0.13141095638275146, 0.7376077175140381, 0.36748430132865906, 0.20230217278003693, 0.8370136022567749, 0.13624557852745056, 0.8309427499771118, 0.15006409585475922, -0.009382558055222034, 0.17511524260044098, 0.43925589323043823, 0.03188043460249901, -0.04902654141187668, 0.45772552490234375, 0.1534460037946701, -0.12532858550548553, -0.3710710108280182, -0.289320707321167, -0.79082852602005, -0.2271362990140915, -0.07292339950799942, 0.17838270962238312, -0.426384299993515, -0.3132476806640625, 0.06713807582855225, -0.08418508619070053, -0.6244503855705261, -0.24154725670814514, -0.7169097661972046, 0.09287343174219131, 0.4584288001060486, -0.19394858181476593, 0.4034034311771393, -0.7334044575691223, 0.4410414695739746, -0.3710969090461731, 0.11813406646251678, 0.21943263709545135, 0.4366520941257477, -0.6844509243965149, -0.27925020456314087, 0.029463160783052444, 0.25224795937538147]",3.0
2019-01-14,A,"[0.26013222336769104, 0.5007508993148804, 0.6009141802787781, -0.11248080432415009, -0.8423755764961243, -0.09598754346370697, -0.026099015027284622, -0.1426934003829956, 0.039296772330999374, -0.6223291158676147, -0.10621126741170883, 0.07104842364788055, 0.3342505991458893, 0.5187126994132996, 0.03644679859280586, 0.19873757660388947, 0.5704171061515808, 0.03930528089404106, 0.5152300596237183, 0.6238400340080261, -0.25546082854270935, -0.6365340948104858, -0.7672756910324097, -0.12945599853992462, -0.7275716066360474, -0.04383068531751633, 0.5271754860877991, 0.19057989120483398, -0.36148902773857117, 0.17109593749046326, 0.3522924780845642, 0.13482236862182617, -0.14991748332977295, -0.23704877495765686, 0.10518313944339752, 0.35957956314086914, 0.10773532092571259, -0.5394178628921509, -0.6661913990974426, -0.31155624985694885, -0.22656461596488953, 1.0595850944519043, -0.07094641029834747, -0.6467503905296326, 0.35773876309394836, -0.06991660594940186, -0.5366121530532837, -0.1722412258386612, 0.08999647200107574, -0.1521829068660736, -1.0081367492675781, 0.46542006731033325, 0.037316739559173584, -0.29403746128082275, -0.5472996830940247, 0.5467931032180786, -0.11232320964336395, -0.28970855474472046, -0.4929267466068268, -0.17764398455619812, -0.31859642267227173, 0.18780958652496338, -0.25006598234176636, 0.36512258648872375, -0.06656446307897568, 0.4242115020751953, 0.4230860769748688, -0.20073075592517853, 0.2756255567073822, -0.10125575959682465, 0.11328904330730438, 0.3555452227592468, 0.7193816304206848, 0.46654582023620605, 0.3557334542274475, -0.46833905577659607, -0.7700120806694031, 0.09479544311761856, 0.860167384147644, -0.4331398606300354, -0.13373425602912903, -0.3623071610927582, 0.024649009108543396, 0.38370710611343384, 0.2438197135925293, 0.4179954528808594, -0.35931268334388733, 0.3450668156147003, -0.052127838134765625, -0.5563420653343201, -0.11044937372207642, 0.39997851848602295, 0.38956132531166077, -0.012525320053100586, 0.4562617838382721, 0.1295752078294754, -0.030130326747894287, -0.171490877866745, 0.728725016117096, 0.6829363107681274]",0.0
2019-01-18,A,"[0.5403775572776794, -0.6247411966323853, 0.3536955714225769, -0.8644256591796875, -0.22647587954998016, -1.1929023265838623, -0.14719468355178833, 0.5109789967536926, -0.7374224066734314, 0.08431082963943481, 0.39648762345314026, 1.4764058589935303, -0.020029190927743912, -0.32088208198547363, 0.0722251832485199, -0.23530569672584534, 0.40303224325180054, 0.21300876140594482, -0.07842347025871277, -0.8926825523376465, -0.72037672996521, -2.0513970851898193, -0.45490485429763794, 0.7391567230224609, 0.5254502892494202, 0.32258474826812744, 0.5307350158691406, 0.02490539848804474, -0.060911327600479126, -1.0708653926849365, -0.34740346670150757, 0.2068713754415512, 0.17920538783073425, 0.3123789429664612, -0.5254078507423401, -0.7573751211166382, 0.006613105535507202, -0.7780497074127197, 0.1658037006855011, -0.5833569765090942, 0.0007524490356445312, 0.9312043190002441, -0.43635106086730957, 0.2308569848537445, 0.03313267230987549, 0.8087981939315796, 0.31620359420776367, 0.0969809740781784, 0.05634265020489693, -0.6596413850784302, -0.44630539417266846, -0.2672981917858124, -0.49548929929733276, -0.4206264615058899, -0.8596920967102051, -0.17843250930309296, 0.7007961273193359, -0.2176046520471573, 0.7905372977256775, -0.8262930512428284, -0.01427006721496582, -0.41499537229537964, -0.05286484956741333, 0.2982105016708374, 0.5585442781448364, 0.0016484558582305908, -0.5098209381103516, -0.9066105484962463, 0.02515379525721073, 0.6738775372505188, -0.21880821883678436, 0.03697703778743744, 0.4241793751716614, 1.0658007860183716, -0.6816495656967163, 0.037351325154304504, -0.37464454770088196, 0.24876078963279724, 0.7835605144500732, 1.1984472274780273, -0.6750873923301697, 1.361567735671997, -0.296845018863678, 0.571188747882843, -1.0658029317855835, -0.20559009909629822, -0.7885039448738098, -0.6665214896202087, -0.7477511763572693, -0.4173376262187958, -0.0029882192611694336, 0.42875319719314575, -0.15425491333007812, -1.204136610031128, -0.24030077457427979, 1.0198354721069336, 0.33577588200569153, -0.8245449066162109, -0.70704185962677, 1.8560724258422852]",0.0
2019-02-07,A,"[-0.27900049090385437, 0.5807626843452454, 0.25218698382377625, 0.18765990436077118, 0.07565969973802567, -0.3775177597999573, -0.10032098740339279, 0.04933886229991913, -0.18613046407699585, 0.4160887897014618, -0.4043352007865906, 0.005194677039980888, 0.5124971866607666, -0.171269953250885, 0.23012453317642212, -0.2434980571269989, -0.09938515722751617, -0.04815680533647537, -0.48089832067489624, 0.04611235484480858, -0.09752007573843002, 0.36916542053222656, 0.2849286198616028, 0.007846646942198277, 0.12502776086330414, 0.09375473856925964, 0.21814250946044922, -0.005594015121459961, 0.06688424944877625, 0.49877098202705383, -0.15546201169490814, -0.06088250130414963, -0.1401650756597519, 0.03307397663593292, 0.5301324129104614, -0.15971562266349792, 0.2413390427827835, -0.287863165140152, -0.3096790909767151, 0.2171728014945984, 0.4661470055580139, 0.45285776257514954, -0.1272730976343155, -0.2805337607860565, 0.2332286238670349, 0.3324037790298462, 0.2248087227344513, 0.12453581392765045, -0.0907808244228363, 0.2666482925415039, 0.0029244637116789818, 0.3862607777118683, -0.014904405921697617, 0.2555074989795685, 0.04285011067986488, -0.3396182060241699, 0.45158851146698, 0.1471901684999466, -0.15261879563331604, -0.22027090191841125, 0.047350697219371796, 0.5352137088775635, 0.020733939483761787, 0.09462109953165054, -0.11662837862968445, -0.08320015668869019, 0.0830448642373085, -0.25348398089408875, 0.14213232696056366, -0.09143423289060593, -0.06735730171203613, 0.0393078438937664, 0.3443335294723511, 0.32859599590301514, -0.3225139379501343, -0.2423919290304184, -0.9452989101409912, 0.1229158267378807, -0.3665124177932739, -0.18023629486560822, 0.4020422697067261, 0.19624172151088715, 0.1323636770248413, -0.020398132503032684, 0.19489282369613647, 0.32210084795951843, -0.14000670611858368, 0.14419232308864594, -0.3602088689804077, -0.4436499774456024, -0.08147253841161728, -0.050101593136787415, 0.9095261693000793, -0.17269662022590637, -0.5306777954101562, 0.2797924876213074, 0.15357469022274017, -0.3104650676250458, 0.36253029108047485, 0.18939442932605743]",0.0
2019-02-13,A,"[-0.0886281430721283, 0.40366944670677185, 0.3506690561771393, 0.4047895073890686, 0.2440161556005478, -0.5628433227539062, 0.3849506974220276, 0.2576602101325989, 0.21017539501190186, -0.15153847634792328, -0.2823151648044586, -0.008341170847415924, 0.272103488445282, 0.034119363874197006, 0.34601280093193054, 0.3337712287902832, 0.4350164830684662, -0.216633141040802, -0.024715935811400414, 0.15532593429088593, -0.6361830234527588, 0.3925073444843292, -0.5268453359603882, -0.1577090620994568, -0.4282671809196472, -0.18852511048316956, 0.07620915025472641, -0.23538163304328918, 0.2729417085647583, -0.038776978850364685, 0.08311246335506439, 0.07913517951965332, -0.1661108285188675, -0.482249915599823, 0.23369522392749786, 0.32253947854042053, 0.060481637716293335, -0.1647890955209732, 0.11194668710231781, -0.020892426371574402, -0.32129818201065063, 0.040028735995292664, -0.3653602600097656, -0.5855737328529358, -0.168991357088089, 0.30553197860717773, -0.04967941343784332, 0.5361706018447876, 0.5837178230285645, 0.2628098726272583, -0.47854864597320557, 0.006830789148807526, 0.34497106075286865, -0.039116669446229935, 0.10002408176660538, -0.5475361943244934, 0.16865688562393188, 0.0014077797532081604, 0.03266524523496628, -0.34963923692703247, 0.46839505434036255, 0.40733158588409424, -0.27877530455589294, 0.3386654853820801, 0.09169387817382812, 0.236250638961792, -0.18264713883399963, -0.08628159761428833, 0.1283724308013916, 0.17006836831569672, 0.3994329869747162, -0.33949393033981323, 0.07024873793125153, 0.02403172105550766, -0.5504801273345947, -0.747897744178772, -0.11069435626268387, 0.1703127771615982, 0.04027647152543068, -0.5191036462783813, -0.42305779457092285, 0.29277560114860535, 0.03099992126226425, -0.235268235206604, -0.20167987048625946, -0.4161096513271332, -0.542675256729126, 0.04841741919517517, 0.010079421103000641, -0.021297693252563477, 0.026135724037885666, -0.36644768714904785, -0.34752118587493896, 0.004401066340506077, -0.0699189156293869, -0.04921247065067291, -0.4213503301143646, 0.28141647577285767, -0.3588196337223053, 0.13223513960838318]",0.0
2019-02-15,A,"[-0.3979882299900055, 0.41054248809814453, -1.2767908573150635, 0.05105112865567207, 0.3198186457157135, -0.46028098464012146, -0.6706912517547607, 0.807563066482544, -0.7661429047584534, 1.1056581735610962, 0.4513932466506958, 0.5354898571968079, 0.4943602979183197, 0.12934446334838867, -0.386462926864624, 0.7327041029930115, 0.1390857845544815, -0.5204284191131592, -1.2751415967941284, 0.1987958699464798, -0.8682103157043457, 0.21499378979206085, -0.048298001289367676, 0.12872862815856934, 0.3263413608074188, 0.13800178468227386, 0.08928492665290833, -0.5205137133598328, 0.90666264295578, 0.08123556524515152, 0.07133414596319199, -0.584496021270752, 0.10041538625955582, -1.2280272245407104, -0.22670264542102814, -0.2326526790857315, 0.8324379920959473, -0.47047868371009827, -0.4534171521663666, -0.6876698136329651, -0.040255989879369736, 0.27556517720222473, 0.09533419460058212, -0.21503929793834686, -0.9850635528564453, 0.6390347480773926, 0.09747707843780518, 0.5509889125823975, 0.531082808971405, 0.4068007171154022, -0.3953016996383667, 0.2915150821208954, 0.7299303412437439, 0.042994629591703415, 0.2602362632751465, -0.3687843382358551, 0.7503490447998047, 0.18963031470775604, 0.39581581950187683, -0.8376362919807434, 0.16300250589847565, 0.41265320777893066, -0.8779595494270325, 0.2569909989833832, -0.548973798751831, 1.1606850624084473, -0.06613330543041229, -0.21973662078380585, 0.5089424252510071, 0.492510050535202, -0.21283037960529327, -0.7708439230918884, 0.5885995030403137, 0.1793719083070755, -0.11645957827568054, -0.9998872876167297, 0.2931320369243622, -0.6968229413032532, -0.20195205509662628, -0.6776798367500305, -0.4838462173938751, 0.6907102465629578, -0.927635133266449, 0.21306152641773224, -0.7509718537330627, -0.5798800587654114, -1.3838376998901367, -0.46668633818626404, 0.5429535508155823, -0.1300307959318161, 0.3751997947692871, -0.12179688364267349, 0.708143949508667, 0.2857650816440582, -0.2893295884132385, 0.7410054206848145, 0.04847419261932373, 0.5834395289421082, -0.9569864869117737, 0.5286290049552917]",0.0
2019-02-20,A,"[-0.06105189025402069, 0.43959730863571167, 0.25501421093940735, 0.26828354597091675, -0.1450318992137909, -0.6059671640396118, 0.1990451216697693, 0.0648137778043747, -0.02056567557156086, -0.3031764626502991, -0.1527319997549057, 0.13853353261947632, -0.015613400377333164, 0.037772513926029205, -0.08555308729410172, 0.3389376103878021, 0.1044074147939682, -0.13826820254325867, -0.06096387654542923, 0.19891656935214996, -0.6316522359848022, 0.22243855893611908, -0.7908223271369934, 0.023106180131435394, 0.07611709088087082, -0.3689597249031067, 0.16792604327201843, 0.17340143024921417, -0.23148854076862335, 0.04959142953157425, 0.16884160041809082, 0.028293125331401825, -0.018412146717309952, -0.20654058456420898, -0.08520098030567169, -0.09734491258859634, -0.1766766458749771, 0.0521756149828434, 0.05230298265814781, -0.2447352260351181, -0.4904966950416565, 0.5279397964477539, -0.17371004819869995, 0.11205966025590897, 0.16254352033138275, 0.5560368895530701, -0.2561236023902893, 0.06755348294973373, -0.0768631249666214, -0.18860849738121033, -0.2020261138677597, 0.011514095589518547, 0.06892961263656616, 0.10285692662000656, -0.4921029806137085, -0.1711283028125763, -0.19190868735313416, 0.05403035879135132, 0.05385436862707138, 0.12294360995292664, 0.07482386380434036, -0.04066610336303711, -0.15755245089530945, 0.6744981408119202, 0.2866973578929901, 0.4272387623786926, 0.15040114521980286, 0.061053138226270676, -0.43380481004714966, 0.0425320602953434, 0.2714805006980896, -0.06221998482942581, 0.33814138174057007, 0.15277665853500366, 0.3570882976055145, -0.41580983996391296, 0.08288207650184631, 0.06934598833322525, 0.400708943605423, -0.3828042447566986, -0.24802149832248688, 0.19144123792648315, -0.13111938536167145, 0.04607482999563217, -0.3165910542011261, -0.3046179413795471, -0.24373911321163177, -0.03182988986372948, -0.03169931471347809, -0.2814811170101166, -0.030475851148366928, 0.0037335616070777178, 0.2611136734485626, -0.389156699180603, -0.46668770909309387, 0.07259169220924377, -0.07181781530380249, 0.1189608946442604, 0.09064661711454391, 0.24761320650577545]",1.0
2019-02-21,A,"[0.11950667202472687, 0.8412560224533081, 0.5188400745391846, -0.2237815409898758, -0.6148713827133179, -0.14634057879447937, 0.9214668273925781, 0.1740165650844574, -0.19099266827106476, -0.7525032162666321, 0.1487833708524704, -0.01345524750649929, -0.31479373574256897, 0.2502696216106415, 0.34746482968330383, 0.16944405436515808, -0.09166969358921051, 0.22507905960083008, 0.18382440507411957, 0.4741438925266266, -0.35948461294174194, -0.23499467968940735, -0.5615927577018738, -0.4368547797203064, -1.0449168682098389, -0.08715477585792542, 0.08630334585905075, 0.07233047485351562, 0.0562998428940773, 0.1417371779680252, 0.022856032475829124, 0.5418553948402405, 0.1481417566537857, -0.5799857974052429, 0.17916516959667206, 0.08122017234563828, 0.6094630360603333, -0.10225404798984528, -0.5648998022079468, -0.5314316749572754, -1.2317206859588623, 0.9483267068862915, -0.15130367875099182, -0.21755090355873108, -0.14472849667072296, 0.18257027864456177, 0.22907355427742004, -0.25773292779922485, 0.1865874081850052, -0.040455304086208344, 0.17265832424163818, 0.1276896744966507, 0.27790889143943787, -0.31413137912750244, -0.6186367869377136, 0.07574083656072617, -0.03257597237825394, 0.17438243329524994, 0.11860354244709015, -0.5471064448356628, -0.5757914781570435, -0.006551623344421387, -0.587415337562561, 0.5853625535964966, -0.048391830176115036, -0.5115717649459839, 0.5346960425376892, -0.13939239084720612, -0.21790149807929993, -0.3865664303302765, 0.07011695951223373, 0.0004927515983581543, 0.5232082605361938, -0.20926165580749512, 0.8243634104728699, -0.4097411036491394, -0.40699562430381775, 0.25105565786361694, 0.39102262258529663, -0.14175297319889069, -0.5094796419143677, 0.2340017855167389, -0.13144323229789734, 0.5119062662124634, -0.6987841725349426, 0.1838538646697998, 0.33859556913375854, 0.10233382135629654, 0.010451287031173706, 0.13920900225639343, 0.3963993489742279, -0.4088398814201355, 0.46015897393226624, 0.08564859628677368, 0.11494513601064682, 0.0640752762556076, -0.13549384474754333, 0.18963009119033813, 0.4835873544216156, 0.5816023945808411]",0.0
2019-02-22,A,"[0.24856822192668915, 0.10095349699258804, -0.7564325928688049, -0.16237309575080872, -0.3886382281780243, -0.6649647951126099, 0.3914388120174408, -0.07458733022212982, 0.2766873836517334, -0.3333778381347656, 0.016000274568796158, -0.10751426964998245, 0.19650433957576752, 0.14950761198997498, 0.18790407478809357, -0.43756940960884094, 0.6352445483207703, -0.05078964680433273, 0.5512868165969849, 0.6547788977622986, -0.0923096165060997, -0.03057234175503254, -0.08857529610395432, 0.014356357976794243, 0.053956590592861176, -0.2323765754699707, 0.8476491570472717, -0.6440227627754211, 0.39552396535873413, -0.34380966424942017, 0.005616903305053711, 0.11542093008756638, -0.06336381286382675, -0.21717384457588196, 0.5513263940811157, 0.06763926893472672, 0.09536286443471909, -0.22719039022922516, -0.11213751882314682, -0.3989962041378021, -0.24678394198417664, 0.5756696462631226, 0.013013371266424656, -0.3484582304954529, 0.07194264978170395, 0.11480311304330826, 0.47511768341064453, -0.02649657614529133, -0.32209450006484985, 0.4842963218688965, -0.7483701109886169, -0.8888055682182312, 0.1838855892419815, 0.28215491771698, -0.43411657214164734, -0.45969581604003906, 0.47919586300849915, -0.41138315200805664, 0.15316835045814514, -0.31784215569496155, -0.3093816637992859, -0.07661496102809906, 0.3032015264034271, 0.6328191161155701, 0.357744961977005, 0.23156657814979553, 0.2861242890357971, 0.2026076316833496, -0.16883158683776855, -0.06861639022827148, 0.5109280943870544, 0.5920949578285217, 0.11477682739496231, 0.5056212544441223, -0.11773999780416489, -0.48416587710380554, -0.1944023221731186, 0.25089094042778015, -0.30345407128334045, 0.08554176241159439, 0.0768495574593544, 0.13527461886405945, -0.7063549160957336, 0.7478402853012085, -0.15521682798862457, -0.09477632492780685, -0.36430904269218445, 0.3069453239440918, -0.09545101225376129, -0.4887586236000061, -0.31746387481689453, 0.42546287178993225, 0.09232927858829498, 0.26401349902153015, -0.4500983655452728, -0.33719804883003235, -0.10798287391662598, -0.12048923969268799, 0.462876558303833, 0.4193337559700012]",0.0
2019-02-25,A,"[0.004496630281209946, -0.6911817193031311, -0.41216930747032166, -0.19621692597866058, 0.0012975846184417605, -0.10574106127023697, -0.03982164338231087, -0.46494221687316895, 0.25821685791015625, -0.3585846722126007, 0.23204541206359863, -0.23243509232997894, -0.02613214962184429, 0.08495981991291046, 0.11831801384687424, -0.32562336325645447, 0.49794116616249084, 0.03939645737409592, 0.47158417105674744, 0.6700019240379333, -0.014059866778552532, 0.1937321126461029, -0.029055669903755188, -0.21737727522850037, -0.028078217059373856, -0.30190223455429077, -0.09387010335922241, -0.4339221119880676, 0.22932837903499603, -0.03617789223790169, -0.3631466329097748, 0.07268287241458893, 0.573780357837677, -0.6112426519393921, 0.22739647328853607, 0.035965073853731155, -0.23098088800907135, -0.44355154037475586, 0.11929881572723389, -0.482709139585495, -0.45477136969566345, 0.3521136939525604, 0.054396722465753555, -0.26118203997612, 0.37174516916275024, -0.10977322608232498, 0.1444976031780243, 0.06551975011825562, -0.007047048769891262, -0.07558327168226242, -0.4077000916004181, -0.3514378070831299, 0.47896626591682434, -0.010934208519756794, -0.1312393993139267, -0.3770151436328888, 0.3810248374938965, -0.10450739413499832, -0.041395749896764755, 0.11471734941005707, 0.07917847484350204, -0.11309000104665756, -0.1370503455400467, 0.3500194251537323, 0.16344435513019562, 0.31832411885261536, 0.0006422059959731996, -0.2485741376876831, -0.2254643440246582, -0.15751561522483826, 0.2710663378238678, 0.015992701053619385, 0.12068649381399155, 0.18690668046474457, 0.25837042927742004, 0.037734609097242355, 0.07931067049503326, 0.11303293704986572, -0.24274294078350067, -0.036282896995544434, 0.4668501317501068, -0.17577099800109863, -0.0680275484919548, 0.3369911015033722, -0.10029967874288559, 0.013612845912575722, -0.48902103304862976, 0.20783451199531555, -0.3613971769809723, -0.21091200411319733, -0.022135093808174133, 0.1853361427783966, 0.14166326820850372, -0.028561579063534737, 0.26946336030960083, 0.1464322954416275, 0.06091763824224472, -0.13000711798667908, -0.07467520982027054, 0.24901701509952545]",1.0
