date,symbol,news_vector,impact_score
2019-01-09,A,"[-0.00297427736222744, -0.0014563575387001038, -0.003883790224790573, 0.0015966746723279357, 0.0013606215361505747, -0.006520948372781277, 5.2496186981443316e-05, 0.010540422052145004, -0.007489955518394709, -0.0011125726159662008, -0.002054775133728981, -0.010125047527253628, 0.003087775083258748, 0.010330172255635262, -0.0015565737849101424, -0.0007068095728754997, 0.009459385648369789, -0.003318294184282422, -0.00535867502912879, -0.016692347824573517, -5.882643017685041e-05, -0.0004693813680205494, 0.001688773394562304, -0.0038687691558152437, 0.0025441364850848913, -0.0020211669616401196, -6.677359488094226e-05, 0.0014619540888816118, -0.004424544982612133, 0.0019117457559332252, 0.005870478227734566, 0.002229450037702918, 0.0035146684385836124, -0.006216224282979965, -0.0070293983444571495, 0.0054456680081784725, 0.0038429226260632277, -0.006056015845388174, -0.0030723721720278263, -0.005350653547793627, -0.0060814144089818, -0.005452911369502544, -0.004352030344307423, -0.0003610088024288416, 0.0036640185862779617, 0.0018282514065504074, -0.004123640712350607, 0.0003168868715874851, 0.0006359138642437756, 0.005301783327013254, 0.0006521365721710026, -0.0016455944860354066, -0.0011930173495784402, 0.0005988318589515984, 0.00014164260937832296, -0.0018208883702754974, 0.0036667995154857635, -0.004191277083009481, -0.005733811762183905, 0.007466825190931559, -0.000858898856677115, -0.003171054180711508, 0.0027948205824941397, -0.00020673824474215508, -0.0072698830626904964, 0.003130522323772311, 0.0016341950977221131, 0.004265128169208765, -0.0037544015794992447, 0.00836117472499609, 0.0049010468646883965, 0.0008214630070142448, 0.00470320088788867, -0.0021953354589641094, 0.003508979454636574, -0.0009635817259550095, 0.00674859806895256, -0.00019660181715153158, -0.006086244247853756, 0.0010606267023831606, -0.005154785234481096, -0.0008962871506810188, -0.008097183890640736, 0.008809426799416542, -0.0030880719423294067, -0.0003591436834540218, 0.002723956247791648, 0.0029299454763531685, 0.006108247675001621, 0.0014854463515803218, 0.006415059324353933, 0.007260179612785578, 0.002045694040134549, 0.002710870001465082, 0.01169599313288927, 0.008973417803645134, -0.0005243575433269143, -0.009838005527853966, 0.004284326918423176, 0.001493955380283296]",3.0
2019-01-14,A,"[-0.005409201607108116, 0.003542181570082903, 0.002120422665029764, 0.002792108803987503, 0.0007697177352383733, -0.010811524465680122, 0.002318702870979905, 0.013156699016690254, -0.007637490518391132, -0.0032549784518778324, -0.00018761139654088765, -0.011723275296390057, -0.002972819609567523, 0.007525429129600525, -0.00224022357724607, -0.0016324672615155578, 0.008639068342745304, -0.0039114924147725105, -0.0045550609938800335, -0.014620194211602211, -0.000152770517161116, 0.0005609978688880801, 0.007484534289687872, -0.0035765015054494143, -0.0037288055755198, 0.0014562651049345732, -0.004026742652058601, -0.00098322588019073, -0.007485146634280682, 0.005011136643588543, 0.009932254441082478, -0.0011945842998102307, 0.0038969838060438633, -0.00595257431268692, -0.004228560719639063, 0.006570120807737112, 0.003950092010200024, -0.00033015082590281963, 0.00046883412869647145, -0.005964627023786306, -0.0010648684110492468, -0.013265997171401978, -0.01201542466878891, 0.0009562086197547615, 0.00018668416305445135, 0.0006313474150374532, -0.001434254227206111, -0.0018494545947760344, 0.0035671982914209366, 0.00519900768995285, 0.0026828437112271786, -0.0053223357535898685, 0.004510966595262289, -0.001755356090143323, 0.0014191360678523779, 0.002040931023657322, 0.002197355031967163, -0.004285387694835663, -0.006531765218824148, 0.008794057182967663, -0.005923633463680744, -0.0008488354505971074, -0.0004386630898807198, -0.005514403805136681, -0.0051811328157782555, 0.004269561730325222, 0.002987428568303585, 0.004045833833515644, -0.0035516575444489717, 0.009118655696511269, 0.0006043745088391006, 0.0036444298457354307, 0.004177283030003309, -0.002708220388740301, 0.007009420543909073, 0.003033449873328209, 0.0015155381988734007, -0.001450356445275247, -0.0010126938577741385, -0.0025594772305339575, -0.006066808942705393, 0.001001328811980784, -0.00148573552723974, 0.007919326424598694, -0.004330554977059364, -0.005366973578929901, 0.0016401655739173293, 0.001871749758720398, 0.005254723597317934, -0.00011898581578861922, 0.010459083132445812, 0.001806846121326089, 0.00412819953635335, -0.002064770320430398, 0.009450824931263924, 0.006891346536576748, 0.006587399635463953, -0.006255290005356073, -4.163077028351836e-05, -0.0008103010477498174]",0.0
2019-01-18,A,"[-0.012121103703975677, 0.0025675473734736443, -0.0010001123882830143, 0.008153850212693214, 0.00721720140427351, -0.009120989590883255, 0.004543928895145655, 0.01353426929563284, -0.012279375456273556, -0.0005317460745573044, -0.006080359220504761, -0.008752865716814995, -0.0011461253743618727, 0.008019053377211094, -0.0026158085092902184, 0.0012537542497739196, 0.012469463050365448, -0.004743955098092556, -0.004142254590988159, -0.01640375889837742, 0.0049482607282698154, -0.0026987860910594463, 0.010495221242308617, -0.01210190448909998, -0.005786485504359007, -0.0008838206995278597, -0.005576129071414471, 0.001074058935046196, -0.005700996611267328, 0.012291409075260162, 0.014059492386877537, 0.0007342137396335602, 0.0025672924239188433, -0.0007151528261601925, -0.005896490998566151, 0.014047646895051003, 2.932734787464142e-06, 0.0017937382217496634, 0.0027618021704256535, -0.001180928316898644, 0.008439533412456512, -0.016633030027151108, -0.009284861385822296, -0.0007366734207607806, 0.00029385971720330417, 0.0035718558356165886, 0.006210616789758205, -0.007839635945856571, 0.007082296535372734, 0.004204226192086935, 0.00885220430791378, -0.006262846756726503, 0.003907353617250919, 0.0014519472606480122, -0.003641730174422264, 0.009086616337299347, 0.005489439703524113, -0.0009908590000122786, -0.011480327695608139, 0.0037430627271533012, -0.006015054881572723, 0.0007078188937157393, -0.0036421464756131172, -0.007709816098213196, -0.004767232574522495, 0.005644054152071476, 0.010550187900662422, -0.000167891921591945, -0.00407141400501132, 0.01213935948908329, -0.0019333244999870658, -0.007499908097088337, 0.005750901065766811, -0.00042470917105674744, 0.004824500996619463, -0.00542036909610033, 0.0033876514062285423, 0.0005334523739293218, -0.0006416321848519146, 0.0041507538408041, -0.007077670656144619, 0.005181646905839443, -0.005490410141646862, 0.007331721484661102, -0.0011840860825031996, -0.007179134991019964, -0.001825838815420866, 0.003923854790627956, 0.006112726870924234, -0.0026025769766420126, 0.012777799740433693, -0.001399161061272025, 0.0018958079162985086, -0.00717180036008358, 0.0036827116273343563, 0.003468369599431753, 0.007863922044634819, -0.005057905800640583, 0.0004300845321267843, 0.0023350436240434647]",0.0
2019-02-07,A,"[4.238066321704537e-05, -0.0006515895365737379, -9.743776172399521e-05, 0.0032417341135442257, -0.00127791753038764, -0.006298690102994442, 0.0007674619555473328, 0.007487120106816292, -0.005858462769538164, -0.0019667153246700764, -0.0013006188673898578, -0.00794197153300047, -0.0009246371337212622, 0.004039481282234192, 0.0006209310377016664, -0.00210294290445745, 0.002065954264253378, -0.006701832637190819, -0.0011591772781684995, -0.012368776835501194, 0.001251501264050603, 0.003773833392187953, 4.048924893140793e-06, -0.0012446546461433172, -0.0017140395939350128, 0.000697516486980021, -0.0030696468893438578, -0.0030670100823044777, -0.0036820615641772747, 0.003584046382457018, 0.008053094148635864, 0.0024362048134207726, 0.0044565144926309586, -0.0009050279040820897, -0.006316314451396465, 0.005838959012180567, -0.000873396173119545, -0.0011664688354358077, -0.0030398766975849867, -0.005219799000769854, 0.00224653840996325, -0.009141598828136921, -0.0007045075763016939, 0.0009651857544668019, 0.0010447513777762651, 0.003562687197700143, -0.00045334568130783737, -0.004522534087300301, -0.001494359690696001, 0.005366193596273661, 0.0020435776095837355, -0.0012860686983913183, 0.000872776610776782, -0.0016780451405793428, -0.0020778095349669456, -0.003048198064789176, -0.0008143947343342006, -0.004293135367333889, -0.0046622538939118385, 0.0030767149291932583, 0.0005838958313688636, 0.004852856043726206, -0.0010107369162142277, -0.002682318678125739, -0.0020407873671501875, 0.0020422579254955053, 0.0037412652745842934, 0.003924645483493805, -0.006265140138566494, 0.004602575674653053, -0.002034491626545787, 0.0012791897170245647, 0.0013037384487688541, -0.004472002387046814, 0.0067679183557629585, -0.002565699862316251, 0.00016130592848639935, 0.0017588856862857938, -0.0011867281282320619, 0.002188553335145116, 0.0004918124177493155, -0.0018460574792698026, -0.007863444276154041, 0.007667890749871731, -0.00045993318781256676, -0.0030498537234961987, 0.00152920326218009, 0.0028455164283514023, 0.0037804124876856804, -0.001072406186722219, 0.005961659364402294, -0.001073402352631092, 0.0005858445074409246, 0.003942323382943869, 0.002692979294806719, 0.004546517506241798, 0.0027122190222144127, -0.002639925805851817, 0.0004996525822207332, 0.00016031807172112167]",0.0
2019-02-13,A,"[-0.004639303311705589, 0.002172463806346059, 0.0004425449878908694, 0.0026108582969754934, 0.005163561552762985, -0.00792089756578207, 0.003554769791662693, 0.01139836199581623, -0.005896562710404396, -0.0038263669703155756, -0.0012627050746232271, -0.007924213074147701, -0.0018947465578094125, 0.006113868672400713, -0.0002150399814127013, -0.0030693854205310345, 0.007800527848303318, 0.0004084885586053133, -0.007018138654530048, -0.0101068876683712, -0.0021456123795360327, -0.0018443299923092127, 0.0028103538788855076, -0.008431344293057919, 0.0010990221053361893, -0.0014747984241694212, 0.0006259350921027362, -0.002458889503031969, -0.006324997171759605, 0.0011450201272964478, 0.007884888909757137, -0.0021793139167129993, 0.0009369736653752625, -0.005124571733176708, -0.005770825315266848, 0.006102106999605894, 0.0020538419485092163, -0.0004429811961017549, -4.625585279427469e-05, -0.005145195405930281, -0.0015869842609390616, -0.007913485169410706, -0.001262554433196783, -0.0015208973782137036, 1.0121671948581934e-05, 0.003412923775613308, -0.0015443474985659122, -0.0009255435434170067, 0.0015557603910565376, 0.00622147973626852, 0.005848343949764967, -0.0029488462023437023, 0.002526391064748168, -0.0007074925815686584, -0.006415065377950668, 0.0038836668245494366, 0.0030785934068262577, -0.0012352733174338937, -0.008037238381803036, 0.00552678806707263, -0.0009145538788288832, 0.0009676161571405828, -0.0011671886313706636, -0.003905767109245062, -0.001416842918843031, 0.0030510674696415663, 0.002167763654142618, 0.003743505571037531, -0.005604798439890146, 0.005263034719973803, 0.0006310707540251315, 0.0011139820562675595, 0.004976866766810417, -0.0033822129480540752, 0.006569336634129286, 0.0016789723886176944, 0.0031010538805276155, 0.0015694592148065567, -0.00267132674343884, -0.0011849618749693036, -0.003584684571251273, 0.0009927457431331277, -0.007777753751724958, 0.004114504903554916, -0.0032966916915029287, -0.0032776761800050735, 0.0022101234644651413, 0.002170085906982422, 0.005524998996406794, -0.0005549833294935524, 0.006504778750240803, 0.0048013110645115376, 0.004011428914964199, -0.0004734319809358567, 0.006762149278074503, 0.005427766591310501, 0.0025115383323282003, -0.005430972203612328, 0.0031170803122222424, -0.0032417504116892815]",0.0
2019-02-15,A,"[-0.010616672225296497, -0.00023620443243999034, 0.004352839197963476, 0.002390295034274459, 0.0035673335660248995, -0.007034043315798044, 0.00569729832932353, 0.013483520597219467, -0.007075456436723471, -0.003938532900065184, -0.004690622445195913, -0.006336933467537165, -0.004590573254972696, 0.0037282027769833803, -0.0013771957019343972, -0.0025971306022256613, 0.00598389795050025, 3.589472544263117e-05, 5.028955638408661e-05, -0.010820247232913971, -0.004638391546905041, -0.003154955804347992, 0.0017528595635667443, -0.006881802808493376, 0.00378226675093174, 0.0013660738477483392, -0.004987524356693029, -0.0025140598881989717, -0.007729452569037676, 0.004769050516188145, 0.011558075435459614, 0.001645328477025032, 0.00407746434211731, -0.0033088484779000282, -0.004268879536539316, 0.00884191319346428, -0.00090786098735407, -2.8711743652820587e-05, -0.00010761548765003681, 0.001247657579369843, -0.0008344107191078365, -0.007256519515067339, -0.002223820658400655, -0.0003082800249103457, 0.0012506803032010794, 0.0054388754069805145, 0.00213257921859622, 0.00039266562089324, -0.0017890594899654388, 0.008221898227930069, 0.008923395536839962, -0.009385990910232067, 0.004025835078209639, 0.0027174095157533884, -0.007719168905168772, 0.004515997599810362, -0.0006859579007141292, 0.006383396219462156, -0.002231379272416234, 0.006281872745603323, -0.0010324598988518119, -0.00207353918813169, -0.0036661766935139894, -0.006830673664808273, -0.0033194273710250854, 0.0023396769538521767, 0.008499592542648315, 0.00524308905005455, 0.00039059636765159667, 0.0043267798610031605, -0.0017176201799884439, -0.0015727370046079159, 0.006882366258651018, -0.0020112216006964445, 0.002120923949405551, 0.004505999851971865, 0.004931178875267506, 0.00478772260248661, -0.0006634150049649179, -0.0022767989430576563, -0.007056544069200754, 0.0012606601230800152, -0.0058251372538506985, 0.0010260860435664654, -0.001748749054968357, -0.0038907581474632025, 0.005253127310425043, 0.0012156254379078746, 0.0062054903246462345, -0.0017191623337566853, 0.004679335281252861, 0.003387012518942356, 0.0040815300308167934, 0.0008126181201077998, 0.0029370153788477182, 0.010776483453810215, 0.009843961335718632, -0.0048776897601783276, -0.0016454426804557443, -0.004778525326400995]",0.0
2019-02-20,A,"[-0.0032796317245811224, 0.004388878121972084, 0.0013784170150756836, 0.0023333721328526735, 0.0007686267490498722, -0.011627002619206905, -0.0004611521726474166, 0.00970488227903843, -0.007132087834179401, -0.0036859912797808647, -0.005268317647278309, -0.0076612383127212524, -0.0018436205573379993, 0.005158126819878817, 0.0012472654925659299, -0.0033843326382339, 0.007770721334964037, -0.0026843994855880737, -0.002794084371998906, -0.012094180099666119, 0.0006928891525603831, -0.0004445623198989779, 0.0016445252113044262, -0.004948399029672146, -0.0020760148763656616, 0.0019228094024583697, -0.0017048801528289914, -0.002524192212149501, -0.005418496672064066, 0.0044353497214615345, 0.0065083433873951435, 0.0010155306663364172, 0.00039445149013772607, -0.0040788245387375355, -0.005579860880970955, 0.009946273639798164, 0.0008727275999262929, -0.0009431813377887011, 0.00036285759415477514, -0.006727516185492277, 0.00010821645992109552, -0.011530721560120583, -0.004171179141849279, -2.9103275664965622e-05, 0.0004687007749453187, 0.0023609246127307415, -0.0008743555517867208, -0.004195207729935646, 0.0038553697522729635, 0.0056749084033071995, 0.0032134801149368286, -0.0010225939331576228, 0.004556557163596153, -0.001990115735679865, 0.0015399048570543528, 0.0029320677276700735, 0.001023298129439354, -0.0029891335871070623, -0.008997340686619282, 0.004759707488119602, -0.0033096359111368656, 0.0006403709412552416, -0.0025340167339891195, -0.0015834950609132648, -0.0005410465528257191, 0.003351911436766386, 0.006303903181105852, 0.00312557490542531, -0.002061741426587105, 0.007419186644256115, 0.0017981939017772675, -0.001738071208819747, 0.004325452260673046, -0.002036173129454255, 0.008608815260231495, 0.0038495215121656656, 0.004404470790177584, 0.0015117350267246366, -0.0009576985030435026, 0.0011911065084859729, -0.0038934217300266027, 0.0008215425768867135, -0.005335157737135887, 0.0059960391372442245, -0.0007772528915666044, -0.002321775769814849, 0.0022208208683878183, 0.0026173973456025124, 0.0046068597584962845, -0.0008481339900754392, 0.008847207762300968, 0.0027372289914637804, 0.005343655589967966, -0.0012534367851912975, 0.008386300876736641, 0.007101064547896385, 0.0016790551599115133, -0.004818984307348728, 0.0009807890746742487, -0.001733955810777843]",1.0
2019-02-21,A,"[-0.007911384105682373, 0.002909600269049406, -0.0013338398421183228, 0.007493147160857916, 0.00019699637778103352, -0.009767440147697926, 0.002497114473953843, 0.014714199118316174, -0.005107404198497534, -0.0016715492820367217, -0.00382699491456151, -0.009145645424723625, -0.0030981856398284435, 0.008681243285536766, -0.0029759465251117945, -0.003819865407422185, 0.007515994366258383, -0.0028529581613838673, -0.006486034486442804, -0.012940923683345318, 0.0008756134775467217, 0.00035053660394623876, 0.002633607480674982, -0.0029172864742577076, -0.0017737612361088395, 0.00182509352453053, -0.0015146441292017698, -0.002394505077973008, -0.010937093757092953, 0.005768459290266037, 0.008770862594246864, -0.003030646126717329, 0.0050745378248393536, -0.004139817785471678, -0.005735727958381176, 0.007341522723436356, 0.005691097117960453, 0.0018561978358775377, 0.00104183005169034, -0.006480072624981403, -0.00016013831191230565, -0.014675021171569824, -0.010158960707485676, 0.0002489015460014343, 0.0020723186898976564, -0.0012263443786650896, 6.243772986636031e-06, -0.0016111737350001931, 0.0034916759468615055, 0.003706659423187375, 0.003463807748630643, -0.005930528976023197, 0.004291955381631851, -0.000689000531565398, -0.0005353576270863414, 0.0033548553474247456, 0.0035980832763016224, -0.006561162881553173, -0.010117960162460804, 0.0047754463739693165, -0.004494798369705677, 0.004030631389468908, -0.00047854118747636676, -0.007023037411272526, -0.003678924171254039, 0.007145915180444717, 0.007474987301975489, 0.005927111022174358, -0.0032304544001817703, 0.010318291373550892, 0.002264259848743677, 0.002146792132407427, 0.0038422816433012486, -0.004716209601610899, 0.007109161466360092, 0.004337664227932692, 0.0011691369581967592, 0.0033550835214555264, -0.0023485105484724045, -0.003152117831632495, -0.005391241516917944, -0.00025691185146570206, -0.0030789070297032595, 0.005761594977229834, -0.004307047463953495, -0.004211184568703175, 0.0033977716229856014, 0.0017425373662263155, -0.00017694663256406784, 7.340199954342097e-05, 0.006041140295565128, 0.0034626820124685764, 0.005113434046506882, 0.0003778078535106033, 0.011215964332222939, 0.0034235187340527773, 0.00545372674241662, -0.005395557731389999, -0.0014548400649800897, 0.0018165961373597383]",0.0
2019-02-22,A,"[-0.004826112650334835, -0.0020415144972503185, -0.0035536461509764194, -0.001765248947776854, -0.001618844224140048, -0.006623642053455114, 0.004467785824090242, 0.012258662842214108, -0.0064042056910693645, -0.0028343650046736, -0.0021334299817681313, -0.005288462620228529, -0.000544577487744391, 0.003610219806432724, -0.000978350406512618, -0.0025087480898946524, 0.004346061963587999, -0.004101770929992199, -0.002095984062179923, -0.010074424557387829, 0.0035227739717811346, -0.0004348706570453942, 0.0032917968928813934, -3.34298238158226e-05, -0.008147182874381542, 0.0016883335774764419, 0.0008758268086239696, -0.0019886863883584738, -0.003767438931390643, 0.003679161425679922, 0.0073227775283157825, -0.0005960301496088505, -0.0007329619256779552, -0.0019651451148092747, -0.0016011794796213508, 0.007665135432034731, -0.0009620063356123865, -0.006211985368281603, -0.0022402761969715357, -0.00533376494422555, -0.0008211698732338846, -0.008662519045174122, -0.0048258197493851185, -0.0002047909511020407, 0.004229801706969738, 0.001422007684595883, -0.0012431329814717174, 0.00026636224356479943, 0.00016273336950689554, 0.0014219563454389572, 0.0007674526423215866, -0.0010389568051323295, 0.0016231585759669542, 7.377385190920904e-05, -0.0032301617320626974, 0.0014998343540355563, 0.0013738115085288882, -0.0020491580944508314, -0.0086928466334939, 0.004620592575520277, 0.0013081433717161417, 0.0032823197543621063, -0.0012347967131063342, -0.006114224903285503, -0.0004920102073810995, 0.0021017238032072783, 0.003619144205003977, 0.0009747088188305497, -0.004441727418452501, 0.002364882966503501, 0.0006692773895338178, 0.0011650214437395334, 0.0006152525311335921, -0.004284140653908253, 0.004411767236888409, 0.0043005491606891155, 0.002111074049025774, 0.0010084289824590087, -0.004001012537628412, 0.0021081946324557066, -0.0018706634873524308, -0.0017139139818027616, -0.0012257074704393744, 0.004309976007789373, -0.0038516721688210964, -0.004865139722824097, -0.00023195719404611737, 0.0015123080229386687, -0.0001425092195859179, -0.003029970917850733, 0.011368820443749428, 0.004848454613238573, 0.0005860241944901645, 0.002064391504973173, 0.009932081215083599, 0.006342128850519657, 0.0008155530667863786, -0.00982202310115099, 0.0018258508061990142, 0.0015070345252752304]",0.0
2019-02-25,A,"[-0.004999611992388964, -0.0002754777669906616, -0.0024185895454138517, 0.0018841096898540854, -0.0010260518174618483, -0.003272938309237361, 0.002402309561148286, 0.007344461977481842, -0.005042153876274824, -0.003240009071305394, -0.000696918519679457, -0.006105129141360521, 0.00017799607303459197, 0.0035199641715735197, -0.0018943219911307096, -0.0008840154041536152, 0.003751215757802129, -0.0023012550082057714, -0.0024479597341269255, -0.008635465055704117, 0.000405801780289039, 0.0014859592774882913, 0.0021740226075053215, -0.00043960270704701543, -0.005412849597632885, 0.00033350096782669425, 0.0016483936924487352, -0.004814452491700649, -0.0015393985668197274, 0.002390645444393158, 0.003841617377474904, 0.0005666103097610176, 0.00046609994024038315, 0.0009819682454690337, -0.001615359098650515, 0.006102300249040127, 0.0007440173649229109, -0.0037548928521573544, -0.0014700264437124133, -0.00697250384837389, 0.0002534487866796553, -0.008993103168904781, -0.0036365967243909836, -0.0022571072913706303, 0.0017842325614765286, -0.0005119649576954544, 8.241855539381504e-05, 0.0015790847828611732, -0.00019057713507208973, -0.0010076024336740375, 0.0019565022084861994, -0.000373525865143165, 0.0018521662568673491, 0.00111590966116637, -0.0008731668931432068, 0.002583493012934923, 0.0008255702559836209, -0.001699405605904758, -0.004497354384511709, 0.0044915988110005856, 0.00022590745356865227, 0.0013494129525497556, -0.000430294283432886, -0.004159137140959501, -0.0032293011900037527, 0.0021273414604365826, 0.0006676308694295585, 0.0018293169559910893, -0.006985728163272142, 0.005748695228248835, 0.0010152772301808, 0.0004134157206863165, 0.0021063878666609526, -0.0021525074262171984, 0.0029143025167286396, 0.002322540385648608, 0.0018791545880958438, 0.001001293072476983, -0.0026937469374388456, 0.0014461643295362592, 0.0005885320133529603, -0.0022242346312850714, -0.002911279210820794, 0.0035929307341575623, -0.0033909545745700598, -0.003147980896756053, 0.0017253293190151453, 0.0013129382859915495, 0.0023835685569792986, -0.000704227015376091, 0.007905608974397182, 0.0017147660255432129, -0.0009002996957860887, 0.00193229119759053, 0.009816864505410194, 0.003976057283580303, 0.0024736265186220407, -0.006995093077421188, 0.0035515481140464544, -9.290078742196783e-05]",1.0
